Start,End,Open,High,Low,Close,Volume,Market Cap
2025-12-27,2025-12-28,103.86242501000001,105.913180585,103.54892992500001,105.913180585,4458808824.530228,58840643700.251465
2025-12-26,2025-12-27,102.070891055,106.10326511500001,101.59483038000002,103.88476291500001,6575280779.592983,58577551190.81342
2025-12-25,2025-12-26,103.99186595,105.53547464000002,102.020949275,102.020949275,3501512924.968548,58560300046.751465
2025-12-24,2025-12-25,105.42437966000001,105.42437966000001,102.68463136500002,104.13345259500001,5212201822.669688,58448556496.51271
2025-12-23,2025-12-24,106.96323199000001,107.66284158500001,104.138378825,105.28415197500001,6020395438.035459,59488727409.73695
2025-12-22,2025-12-23,107.07899839500001,109.03088963,105.72683319500001,106.90080476500002,5695466735.235988,60354559680.30328
2025-12-21,2025-12-22,106.85349597000001,107.47046381000001,105.06366071500001,107.06175659000002,3175328532.901364,59861284662.56768
2025-12-20,2025-12-21,107.06753217,107.70811194000001,106.50865987,106.90632554000001,5723724119.291111,60244334080.68414
2025-12-19,2025-12-20,101.542595355,108.11078877500002,100.05283545500001,107.19340584000001,11902629058.541544,59272231139.180244
2025-12-18,2025-12-19,104.71313397,109.48546175000001,99.67071289000002,101.63356074000001,10255689458.484081,58720229096.428604
2025-12-17,2025-12-18,109.40434882500003,113.43086237,103.32988256000002,104.61308054000001,7752095756.021531,60435700802.94497
2025-12-16,2025-12-17,108.534104815,110.16137448,106.407162545,109.581183495,8894873791.963171,60857460579.79524
2025-12-15,2025-12-16,110.477077875,114.25914849,105.45758924500001,108.50675574500002,6482240710.236042,61961629080.03296
2025-12-14,2025-12-15,112.87037630500001,113.47936025500002,109.89977468000001,110.16443214,3536964189.5420856,62867964035.275894
2025-12-13,2025-12-14,112.63629544500002,114.05037826,112.19352929000001,113.19126073500001,6600035916.013203,63491101653.23629
2025-12-12,2025-12-13,115.9311789,118.97236151000001,111.31436710500002,112.50575035000003,9537261161.403013,64926601052.19679
2025-12-11,2025-12-12,115.773114865,116.78367149500002,110.04229561000001,115.782627585,11127330160.991003,63205145155.95094
2025-12-10,2025-12-11,117.43707645,120.15525125500001,115.29051419500001,115.95462096000001,10532464689.226728,65779982838.805504
2025-12-09,2025-12-10,113.102248855,123.00303687000002,112.25366327,117.16341588,8725421090.710588,64710366765.13617
2025-12-08,2025-12-09,112.21680148000002,118.23707921500001,111.87451343000002,113.30176117000002,8582174140.121591,64629677540.905075
2025-12-07,2025-12-08,112.42336340000001,115.789762125,108.971010455,111.93082533500001,4352074889.354969,63211920692.35261
2025-12-06,2025-12-07,113.108703915,113.92110719,111.80444205500001,112.404762635,6004707548.552196,63238928295.505684
2025-12-05,2025-12-06,118.22765143000001,119.26538726000001,111.37288732,113.20620929500001,7602305216.803089,64790805489.24594
2025-12-04,2025-12-05,122.983926495,124.66062833000002,117.25013451500001,118.13286397,9189809954.971924,67855577902.29343
2025-12-03,2025-12-04,117.74513569500003,123.81161807000001,117.22270051000001,123.27109173000001,11544751215.88182,67330345364.80001
2025-12-02,2025-12-03,107.61272993500002,119.40247235,107.19646350000001,117.71685234,9538926837.414307,62762754172.41186
2025-12-01,2025-12-02,113.24349576000002,113.24349576000002,104.95953040500001,107.70760233000001,8882365039.70419,60126709938.92737
2025-11-30,2025-12-01,115.560777365,118.94492750500002,113.79260053500002,113.79260053500002,4484156819.759863,65201349510.9487
2025-11-29,2025-11-30,116.839898465,117.24673711500002,114.912383575,115.66023625000003,6287080523.19976,65062122926.03418
2025-11-28,2025-11-29,119.672480715,121.94525638000002,115.997173395,116.829706265,6628756442.573737,66419236311.651764
2025-11-27,2025-11-28,121.255329375,122.39711058,119.50634785500003,119.680294735,8812891796.136354,67649980308.16962
2025-11-26,2025-11-27,118.16097745500002,122.83214765000001,115.30418873,121.49034452000001,8976602216.996157,66205830303.28825
2025-11-25,2025-11-26,117.28240981500002,119.28237426000003,113.47163117000001,118.21618520500002,9357593160.115095,65083267174.656296
2025-11-24,2025-11-25,110.871855755,118.37560820000003,109.347102635,117.506638215,9041536751.91129,63166465950.863174
2025-11-23,2025-11-24,108.610206575,113.16144855000002,108.54650532500001,111.08911948500003,6865403127.678796,62096403252.93305
2025-11-22,2025-11-23,109.49565395000002,110.18524121500002,106.46271003500001,108.41978230500001,13465157217.580597,60369194843.81392
2025-11-21,2025-11-22,113.68108088000001,114.49297454500001,103.62375766000001,109.27337905500002,18694089973.23811,60977577608.987076
2025-11-20,2025-11-21,116.11582759000001,122.80496845,111.76690078500002,113.53788047,14146729128.208605,65502723642.079
2025-11-19,2025-11-20,118.99733240000002,120.90038601000002,111.013187595,115.922260725,11146632494.944714,64636273508.795135
2025-11-18,2025-11-19,111.27427778500001,120.626470635,109.82970330500002,119.48910605,16508367451.013643,64756070554.390976
2025-11-17,2025-11-18,116.40180373500002,121.16054191500002,109.90529545500002,111.20242277500002,11262094233.450483,64693666250.92075
2025-11-16,2025-11-17,118.58904985500001,121.68034411500001,114.93990251500001,117.00713548,6864817103.014704,65632942690.2553
2025-11-15,2025-11-16,118.69462406000002,122.69472282000001,117.91016440000003,118.55125378000001,11193094153.10518,66651500053.87201
2025-11-14,2025-11-15,123.18403335500001,123.55519930500002,115.70041050500001,118.02117444500001,16929097941.583752,66763967656.246796
2025-11-13,2025-11-14,130.56233680500003,133.35381051500002,120.14293568000001,123.19821750000003,12292872261.830236,71438753343.82106
2025-11-12,2025-11-13,131.85538724500003,136.75664635500002,128.77369064,130.19550254,15087585242.401203,73324727112.85818
